avgpathtokenlen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
2.667,0.724,0.629,2.92,0.216,3.36,0.869,0.44,0.06,0.084,0.096,0.832,Defacement
4.188,0.822,0.02,0.182,0.109,7.546,0.024,0.727,0.099,-1.0,-1.0,0.947,benign
2.0,0.539,0.452,1.13,0.4,1.348,0.839,0.326,0.13,0.17,0.173,0.748,malware
11.333,0.833,0.108,1.1,0.098,8.5,0.129,0.5,0.196,0.303,0.182,0.88,spam
2.667,0.659,0.524,2.048,0.256,2.571,0.796,0.714,0.012,0.019,0.023,0.87,malware
5.5,0.63,0.309,1.087,0.284,2.217,0.49,0.652,0.111,0.143,0.2,0.87,spam
7.0,0.661,0.034,0.154,0.22,3.0,0.051,0.846,0.017,0.0,-1.0,0.834,benign
4.429,0.835,0.022,0.25,0.088,9.5,0.026,0.625,0.066,0.0,-1.0,0.917,benign
4.625,0.62,0.028,0.1,0.282,2.2,0.046,0.4,0.0,0.0,-1.0,0.796,phishing
3.5,0.561,0.288,0.864,0.333,1.682,0.514,0.409,0.0,0.0,0.0,0.781,Defacement
8.462,0.83,0.014,0.111,0.122,6.778,0.016,0.5,0.143,0.188,-1.0,0.82,spam
4.929,0.865,0.021,0.333,0.063,13.833,0.024,0.667,0.094,0.0,-1.0,1.0,malware
4.2,0.51,0.041,0.118,0.347,1.471,0.08,0.353,0.204,0.444,-1.0,0.788,spam
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.05,0.143,-1.0,0.917,phishing
3.375,0.882,0.74,8.273,0.089,9.864,0.839,0.773,0.211,0.338,0.029,0.801,spam
6.0,0.681,0.028,0.125,0.222,3.063,0.041,0.563,0.056,0.5,-1.0,0.863,phishing
5.2,0.596,0.039,0.143,0.269,2.214,0.065,0.5,0.0,0.0,-1.0,0.836,phishing
2.417,0.702,0.035,0.2,0.175,4.0,0.05,0.8,0.018,0.0,-1.0,0.699,benign
5.5,0.446,0.036,0.083,0.429,1.042,0.08,0.917,0.0,0.0,-1.0,0.755,phishing
4.077,0.777,0.024,0.167,0.141,5.5,0.03,0.75,0.0,0.0,-1.0,0.843,malware
2.5,0.976,0.961,59.2,0.016,60.133,0.985,0.667,0.162,0.167,0.169,0.864,spam
5.333,0.5,0.135,0.368,0.365,1.368,0.269,0.842,0.019,0.04,0.143,0.817,phishing
3.333,0.746,0.404,2.091,0.193,3.864,0.541,0.773,0.29,0.464,0.544,0.801,spam
3.667,0.463,0.122,0.333,0.366,1.267,0.263,0.533,0.049,0.111,0.4,0.77,Defacement
5.083,0.809,0.023,0.2,0.112,7.2,0.028,0.8,0.011,0.016,-1.0,0.699,benign
2.667,0.697,0.53,2.692,0.197,3.539,0.761,0.539,0.121,0.156,0.2,0.834,spam
4.0,0.569,0.039,0.133,0.294,1.933,0.069,0.6,0.0,0.0,-1.0,0.851,phishing
4.333,0.768,0.024,0.167,0.146,5.25,0.032,0.75,0.122,0.0,-1.0,1.0,benign
2.667,0.785,0.7,4.333,0.162,4.857,0.892,0.524,0.069,0.089,0.099,0.75,Defacement
2.667,0.868,0.824,7.923,0.104,8.346,0.949,0.615,0.124,0.144,0.151,0.84,Defacement
3.857,0.674,0.041,0.222,0.184,3.667,0.061,0.667,0.265,0.375,-1.0,1.0,Defacement
3.2,0.74,0.521,2.778,0.188,3.944,0.704,0.5,0.427,0.492,0.58,0.893,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0.0,0.0,0.784,malware
4.556,0.69,0.028,0.133,0.211,3.267,0.041,0.8,0.07,0.104,-1.0,0.898,benign
5.571,0.692,0.031,0.154,0.2,3.462,0.044,0.769,0.0,0.0,-1.0,0.818,malware
4.0,0.364,0.036,0.071,0.509,0.714,0.1,0.75,0.0,0.0,-1.0,0.82,phishing
3.455,0.762,0.032,0.25,0.127,6.0,0.042,0.625,0.0,0.0,-1.0,0.917,benign
5.375,0.725,0.029,0.167,0.174,4.167,0.04,0.75,0.101,1.0,-1.0,0.861,benign
4.909,0.727,0.023,0.118,0.193,3.765,0.031,0.471,0.023,0.0,-1.0,0.816,Defacement
4.333,0.782,0.02,0.133,0.149,5.267,0.025,0.8,0.089,0.032,-1.0,0.864,benign
8.0,0.413,0.018,0.035,0.523,0.79,0.044,0.281,0.165,0.531,-1.0,0.703,phishing
4.75,0.616,0.027,0.095,0.288,2.143,0.044,0.714,0.0,0.0,-1.0,0.87,malware
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.1,0.286,-1.0,0.917,phishing
3.375,0.873,0.719,7.455,0.097,9.046,0.824,0.773,0.202,0.318,0.06,0.801,spam
3.4,0.536,0.125,0.368,0.339,1.579,0.233,0.421,0.0,0.0,0.0,0.808,spam
4.714,0.549,0.028,0.08,0.352,1.56,0.051,0.6,0.042,0.231,-1.0,0.757,Defacement
2.667,0.75,0.64,3.556,0.18,4.167,0.853,0.444,0.05,0.068,0.078,0.783,Defacement
4.833,0.642,0.038,0.167,0.226,2.833,0.059,0.833,0.076,0.121,-1.0,0.861,benign
4.778,0.75,0.029,0.2,0.147,5.1,0.039,0.7,0.088,0.136,-1.0,0.857,benign
3.154,0.671,0.025,0.105,0.241,2.79,0.038,0.421,0.241,0.0,-1.0,0.817,phishing
7.0,0.765,0.039,0.4,0.098,7.8,0.051,0.6,0.0,0.0,-1.0,0.828,benign
4.571,0.857,0.022,0.333,0.066,13.0,0.026,0.667,0.132,0.046,-1.0,1.0,malware
3.0,0.744,0.558,3.2,0.174,4.267,0.75,0.333,0.058,0.086,0.104,0.804,Defacement
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.05,0.143,-1.0,0.917,phishing
2.8,0.593,0.271,0.941,0.288,2.059,0.457,0.588,0.068,0.133,0.25,0.788,Defacement
4.75,0.418,0.036,0.08,0.455,0.92,0.087,0.72,0.0,0.0,-1.0,0.773,phishing
5.75,0.654,0.025,0.095,0.259,2.524,0.038,0.571,0.049,0.333,-1.0,0.84,phishing
2.667,0.773,0.673,4.111,0.164,4.722,0.871,0.833,0.091,0.119,0.135,0.867,Defacement
3.6,0.478,0.044,0.118,0.37,1.294,0.091,0.353,0.087,0.444,-1.0,0.788,spam
2.0,0.739,0.646,4.2,0.154,4.8,0.875,0.5,0.231,0.319,0.357,0.88,spam
11.333,0.835,0.117,1.2,0.097,8.6,0.14,0.5,0.204,0.313,0.25,0.88,spam
2.667,0.699,0.566,2.611,0.217,3.222,0.81,0.333,0.048,0.07,0.085,0.847,Defacement
5.526,0.831,0.014,0.111,0.122,6.833,0.016,0.611,0.054,0.047,-1.0,0.83,Defacement
4.625,0.677,0.031,0.143,0.215,3.143,0.046,0.857,0.062,0.0,-1.0,0.925,malware
8.923,0.837,0.013,0.111,0.118,7.111,0.016,0.5,0.124,0.161,-1.0,0.82,spam
3.667,0.406,0.063,0.167,0.375,1.083,0.154,0.583,0.031,0.0,-1.0,0.907,spam
7.667,0.463,0.037,0.091,0.407,1.136,0.08,0.546,0.0,0.0,-1.0,0.814,Defacement
4.333,0.615,0.369,1.333,0.277,2.222,0.6,0.444,0.108,0.18,0.292,0.82,Defacement
5.222,0.743,0.027,0.167,0.162,4.583,0.036,0.75,0.095,1.0,-1.0,0.861,benign
4.0,0.6,0.267,0.941,0.283,2.118,0.444,0.706,0.1,0.2,0.375,0.845,spam
3.4,0.73,0.023,0.118,0.191,3.824,0.031,0.824,0.0,0.0,-1.0,0.788,benign
4.25,0.435,0.044,0.105,0.413,1.053,0.1,0.737,0.0,0.0,-1.0,0.817,spam
4.091,0.737,0.026,0.154,0.171,4.308,0.036,0.692,0.132,0.148,-1.0,0.875,benign
5.0,0.442,0.039,0.091,0.423,1.046,0.087,0.727,0.0,0.0,-1.0,0.862,Defacement
4.143,0.621,0.035,0.133,0.259,2.4,0.056,0.8,0.0,0.0,-1.0,0.898,benign
4.308,0.747,0.022,0.125,0.176,4.25,0.029,0.625,0.297,0.452,-1.0,0.906,malware
4.2,0.51,0.041,0.118,0.347,1.471,0.08,0.353,0.204,0.444,-1.0,0.788,spam
3.6,0.78,0.55,3.667,0.15,5.2,0.705,0.667,0.28,0.389,0.509,0.898,spam
4.0,0.867,0.017,0.222,0.075,11.556,0.019,0.778,0.142,0.156,-1.0,0.93,benign
5.5,0.521,0.042,0.125,0.333,1.563,0.08,0.5,0.0,0.0,-1.0,0.813,phishing
12.2,0.747,0.023,0.133,0.172,4.333,0.031,0.533,0.299,0.344,-1.0,0.851,malware
8.333,0.816,0.015,0.111,0.132,6.167,0.018,0.5,0.096,0.129,-1.0,0.82,spam
4.111,0.643,0.029,0.111,0.257,2.5,0.044,0.611,0.0,0.0,-1.0,0.83,malware
2.667,0.674,0.547,2.238,0.244,2.762,0.81,0.524,0.047,0.07,0.085,0.775,Defacement
2.667,0.796,0.684,5.154,0.133,6.0,0.859,0.539,0.122,0.143,0.164,0.834,spam
7.0,0.702,0.03,0.154,0.194,3.615,0.043,0.769,0.164,0.375,-1.0,0.958,malware
3.533,0.819,0.024,0.25,0.096,8.5,0.029,0.625,0.0,0.0,-1.0,0.917,benign
2.909,0.671,0.057,0.25,0.229,2.938,0.085,0.688,0.086,0.0,0.0,0.844,spam
2.667,0.636,0.494,1.81,0.273,2.333,0.776,0.524,0.039,0.063,0.079,0.75,Defacement
3.375,0.874,0.722,7.546,0.096,9.136,0.826,0.773,0.196,0.305,0.077,0.801,spam
2.667,0.698,0.491,2.889,0.17,4.111,0.703,0.778,0.189,0.194,0.269,0.86,benign
1.25,0.209,0.047,0.074,0.628,0.333,0.222,0.741,0.0,0.0,-1.0,0.79,phishing
4.25,0.677,0.452,1.826,0.247,2.739,0.667,0.783,0.215,0.357,0.476,0.808,spam
3.333,0.296,0.046,0.083,0.546,0.542,0.154,0.458,0.0,0.0,-1.0,0.768,phishing
5.889,0.604,0.02,0.061,0.327,1.849,0.033,0.788,0.0,0.0,-1.0,0.802,phishing
2.333,0.265,0.059,0.111,0.529,0.5,0.222,0.611,0.0,0.0,-1.0,0.883,Defacement
11.333,0.833,0.108,1.1,0.098,8.5,0.129,0.5,0.226,0.349,0.182,0.88,spam
3.0,0.422,0.044,0.105,0.422,1.0,0.105,0.842,0.022,0.0,-1.0,0.926,phishing
4.2,0.51,0.041,0.118,0.347,1.471,0.08,0.353,0.204,0.444,-1.0,0.788,spam
3.667,0.463,0.122,0.333,0.366,1.267,0.263,0.533,0.049,0.111,0.4,0.77,Defacement
4.4,0.759,0.434,2.769,0.157,4.846,0.571,0.539,0.108,0.129,0.222,0.834,spam
3.25,0.198,0.025,0.035,0.716,0.276,0.125,0.397,0.012,0.0,-1.0,0.764,phishing
3.333,0.595,0.286,1.2,0.238,2.5,0.48,0.7,0.095,0.167,0.333,0.94,Defacement
2.667,0.659,0.524,2.048,0.256,2.571,0.796,0.714,0.012,0.019,0.023,0.87,malware
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.025,0.071,-1.0,0.917,phishing
4.7,0.776,0.194,1.267,0.153,5.067,0.25,0.8,0.061,0.188,0.316,0.898,malware
2.667,0.691,0.56,2.474,0.226,3.053,0.81,0.368,0.048,0.07,0.085,0.842,Defacement
1.0,0.633,0.531,2.364,0.225,2.818,0.839,0.727,0.02,0.037,0.039,1.0,phishing
3.75,0.556,0.254,0.762,0.333,1.667,0.457,0.476,0.064,0.148,0.25,0.84,spam
6.7,0.817,0.022,0.2,0.108,7.6,0.026,0.7,0.323,-1.0,-1.0,0.94,benign
2.0,0.714,0.597,3.067,0.195,3.667,0.836,0.667,0.234,0.333,0.391,0.898,spam
4.083,0.803,0.026,0.25,0.105,7.625,0.033,0.875,0.316,-1.0,-1.0,0.917,benign
4.778,0.732,0.028,0.167,0.169,4.333,0.039,0.75,0.0,0.0,-1.0,0.843,malware
6.429,0.68,0.027,0.118,0.227,3.0,0.039,0.412,0.013,0.056,-1.0,0.834,Defacement
3.417,0.667,0.026,0.105,0.244,2.737,0.039,0.421,0.192,0.0,-1.0,0.817,phishing
5.333,0.644,0.034,0.143,0.237,2.714,0.053,0.5,0.0,0.0,-1.0,0.873,phishing
9.571,0.705,0.019,0.083,0.229,3.083,0.027,0.625,0.171,0.563,-1.0,0.798,phishing
3.5,0.697,0.424,2.154,0.197,3.539,0.609,0.539,0.136,0.178,0.286,0.834,spam
3.667,0.61,0.373,1.375,0.271,2.25,0.611,0.813,0.153,0.257,0.409,0.813,benign
2.333,0.46,0.189,0.539,0.351,1.308,0.412,0.462,0.108,0.25,0.571,0.776,Defacement
5.5,0.679,0.036,0.2,0.179,3.8,0.053,0.4,0.0,0.0,-1.0,0.797,benign
5.286,0.683,0.032,0.154,0.206,3.308,0.047,0.769,0.0,0.0,-1.0,0.693,benign
5.0,0.747,0.023,0.133,0.172,4.333,0.031,0.8,0.276,1.0,-1.0,0.898,benign
2.333,0.719,0.547,3.182,0.172,4.182,0.761,0.727,0.031,0.056,0.057,0.947,malware
2.8,0.593,0.271,0.941,0.288,2.059,0.457,0.588,0.068,0.133,0.25,0.788,Defacement
4.8,0.558,0.039,0.125,0.308,1.813,0.069,0.563,0.0,0.0,-1.0,0.738,phishing
3.75,0.45,0.05,0.133,0.375,1.2,0.111,0.8,0.0,0.0,-1.0,0.864,phishing
1.5,0.816,0.747,7.222,0.103,7.889,0.916,0.667,0.012,0.0,0.0,1.0,phishing
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.025,0.071,-1.0,0.917,phishing
5.667,0.722,0.037,0.25,0.148,4.875,0.051,0.625,0.056,0.167,-1.0,0.917,benign
5.2,0.712,0.186,1.1,0.17,4.2,0.262,0.5,0.102,0.182,0.364,0.88,spam
4.1,0.658,0.026,0.105,0.25,2.632,0.04,0.474,0.026,0.063,-1.0,0.734,Defacement
3.111,0.785,0.022,0.154,0.14,5.615,0.027,0.769,0.086,-1.0,-1.0,0.901,malware
3.2,0.651,0.032,0.133,0.238,2.733,0.049,0.6,0.0,0.0,-1.0,0.77,benign
2.667,0.876,0.815,9.667,0.084,10.4,0.93,0.4,0.045,0.052,0.055,0.804,Defacement
13.5,0.881,0.519,6.917,0.075,11.75,0.589,0.75,0.181,0.22,0.072,0.861,benign
4.0,0.49,0.041,0.111,0.367,1.333,0.083,0.667,0.0,0.0,-1.0,0.793,phishing
3.8,0.489,0.043,0.118,0.362,1.353,0.087,0.353,0.106,0.5,-1.0,0.788,spam
3.25,0.327,0.041,0.077,0.531,0.615,0.125,0.654,0.0,0.0,-1.0,0.763,phishing
5.571,0.703,0.031,0.167,0.188,3.75,0.044,0.583,0.031,0.061,-1.0,0.907,benign
5.333,0.474,0.053,0.154,0.342,1.385,0.111,0.615,0.0,0.0,-1.0,0.917,spam
3.375,0.672,0.149,0.667,0.224,3.0,0.222,0.733,0.299,0.381,0.4,0.77,malware
3.5,0.787,0.639,4.105,0.156,5.053,0.813,0.421,0.098,0.136,0.154,0.833,Defacement
2.75,0.366,0.049,0.105,0.463,0.79,0.133,0.632,0.0,0.0,-1.0,0.867,phishing
4.625,0.6,0.027,0.087,0.307,1.957,0.044,0.696,0.0,0.0,-1.0,0.813,malware
2.5,0.978,0.965,65.6,0.015,66.533,0.986,0.667,0.168,0.172,0.174,0.864,spam
4.692,0.794,0.022,0.167,0.13,6.083,0.027,0.75,0.044,0.0,-1.0,0.954,benign
4.0,0.654,0.039,0.182,0.212,3.091,0.059,0.727,0.115,0.0,-1.0,0.895,Defacement
2.667,0.737,0.626,3.263,0.192,3.842,0.849,0.684,0.051,0.069,0.081,0.808,Defacement
6.333,0.652,0.03,0.125,0.242,2.688,0.047,0.563,0.349,0.539,-1.0,0.863,malware
4.6,0.778,0.019,0.118,0.157,4.941,0.024,0.824,0.0,0.0,-1.0,0.885,benign
5.833,0.69,0.035,0.182,0.19,3.636,0.05,0.727,0.0,0.0,-1.0,0.895,Defacement
2.5,0.91,0.853,13.867,0.062,14.8,0.937,0.667,0.143,0.161,0.168,0.864,spam
2.667,0.613,0.475,1.583,0.3,2.042,0.776,0.5,0.063,0.104,0.132,0.816,Defacement
3.5,0.726,0.48,2.692,0.178,4.077,0.66,0.539,0.082,0.096,0.143,0.834,spam
13.5,0.725,0.025,0.133,0.188,3.867,0.035,0.533,0.263,0.563,-1.0,0.817,phishing
3.6,0.769,0.517,3.357,0.154,5.0,0.671,0.571,0.176,0.207,0.255,0.784,malware
3.333,0.308,0.051,0.1,0.513,0.6,0.167,0.7,0.0,0.0,-1.0,0.829,phishing
6.333,0.702,0.021,0.095,0.223,3.143,0.03,0.667,0.032,0.0,-1.0,0.745,phishing
3.8,0.489,0.043,0.118,0.362,1.353,0.087,0.353,0.106,0.5,-1.0,0.788,spam
2.5,0.973,0.956,52.533,0.018,53.467,0.983,0.667,0.153,0.158,0.16,0.864,spam
1.5,0.333,0.256,0.444,0.577,0.578,0.769,0.222,0.013,0.053,0.05,0.711,phishing
3.786,0.798,0.024,0.2,0.119,6.7,0.03,0.7,0.06,0.0,-1.0,0.94,benign
4.25,0.578,0.028,0.087,0.324,1.783,0.049,0.696,0.0,0.0,-1.0,0.813,malware
3.4,0.5,0.048,0.143,0.333,1.5,0.095,0.786,0.0,0.0,-1.0,0.887,phishing
3.8,0.649,0.228,1.0,0.228,2.846,0.351,0.769,0.14,0.286,0.462,0.834,benign
5.333,0.617,0.033,0.125,0.267,2.313,0.054,0.813,0.0,0.0,-1.0,0.844,phishing
3.875,0.667,0.035,0.167,0.211,3.167,0.053,0.75,0.0,0.0,-1.0,1.0,benign
2.75,0.697,0.528,2.35,0.225,3.1,0.758,0.7,0.045,0.07,0.085,0.783,Defacement
4.846,0.79,0.021,0.154,0.137,5.769,0.027,0.769,0.063,0.0,-1.0,0.834,benign
3.375,0.672,0.149,0.667,0.224,3.0,0.222,0.733,0.299,0.381,0.4,0.77,malware
3.6,0.831,0.654,5.667,0.115,7.2,0.787,0.667,0.223,0.284,0.364,0.898,spam
3.0,0.436,0.128,0.333,0.385,1.133,0.294,0.8,0.077,0.188,0.6,0.932,Defacement
3.25,0.466,0.172,0.417,0.414,1.125,0.37,0.75,0.103,0.095,0.2,0.866,spam
5.714,0.879,0.019,0.333,0.056,15.667,0.021,0.667,0.084,0.0,-1.0,1.0,malware
5.316,0.844,0.014,0.133,0.106,7.933,0.017,0.6,0.0,0.0,-1.0,0.77,benign
3.0,0.726,0.598,2.905,0.206,3.524,0.824,0.429,0.098,0.161,0.164,0.818,spam
2.667,0.761,0.636,4.0,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
4.375,0.75,0.036,0.286,0.125,6.0,0.048,0.571,0.0,0.0,-1.0,0.898,benign
9.286,0.357,0.01,0.017,0.608,0.587,0.028,0.165,0.151,0.0,-1.0,0.633,phishing
6.455,0.82,0.02,0.182,0.11,7.455,0.024,0.727,0.0,0.0,-1.0,0.947,benign
4.286,0.529,0.029,0.08,0.368,1.44,0.056,0.72,0.0,0.0,-1.0,0.774,malware
4.111,0.703,0.031,0.167,0.188,3.75,0.044,0.75,0.125,0.0,-1.0,0.814,benign
5.455,0.798,0.023,0.182,0.124,6.455,0.028,0.727,0.157,-1.0,-1.0,1.0,benign
5.143,0.817,0.019,0.167,0.115,7.083,0.024,0.833,0.058,-1.0,-1.0,0.861,benign
4.0,0.442,0.047,0.118,0.395,1.118,0.105,0.471,0.047,0.0,-1.0,0.885,phishing
4.692,0.851,0.023,0.333,0.069,12.333,0.027,0.667,0.103,0.0,-1.0,1.0,malware
